D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/cnn/cnn_train.py
1310 	 train_loss:0.016808385029435158 	 test_loss: 0.01939660869538784 	 test_min_loss: 0.01939660869538784 	 difference: 0.0025882236659526825 	 comp_acc:0 	 relative_acc:0
1320 	 train_loss:0.01678178459405899 	 test_loss: 0.01937493309378624 	 test_min_loss: 0.01937493309378624 	 difference: 0.002593148499727249 	 comp_acc:0 	 relative_acc:0
1330 	 train_loss:0.016755426302552223 	 test_loss: 0.019354557618498802 	 test_min_loss: 0.019354557618498802 	 difference: 0.002599131315946579 	 comp_acc:0 	 relative_acc:0
1340 	 train_loss:0.016729386523365974 	 test_loss: 0.019335241988301277 	 test_min_loss: 0.019335241988301277 	 difference: 0.0026058554649353027 	 comp_acc:0 	 relative_acc:0
1350 	 train_loss:0.016703514382243156 	 test_loss: 0.019313925877213478 	 test_min_loss: 0.019313925877213478 	 difference: 0.0026104114949703217 	 comp_acc:0 	 relative_acc:0
1360 	 train_loss:0.01667722314596176 	 test_loss: 0.019292036071419716 	 test_min_loss: 0.019292036071419716 	 difference: 0.0026148129254579544 	 comp_acc:0 	 relative_acc:0
1370 	 train_loss:0.016651706770062447 	 test_loss: 0.019271904602646828 	 test_min_loss: 0.019271904602646828 	 difference: 0.002620197832584381 	 comp_acc:0 	 relative_acc:0
1380 	 train_loss:0.016627822071313858 	 test_loss: 0.019252661615610123 	 test_min_loss: 0.019252661615610123 	 difference: 0.0026248395442962646 	 comp_acc:0 	 relative_acc:0
1390 	 train_loss:0.01660134457051754 	 test_loss: 0.019233105704188347 	 test_min_loss: 0.019233105704188347 	 difference: 0.002631761133670807 	 comp_acc:0 	 relative_acc:0
1400 	 train_loss:0.01657659001648426 	 test_loss: 0.0192128773778677 	 test_min_loss: 0.0192128773778677 	 difference: 0.002636287361383438 	 comp_acc:0 	 relative_acc:0
1410 	 train_loss:0.01655229739844799 	 test_loss: 0.01919337548315525 	 test_min_loss: 0.01919337548315525 	 difference: 0.00264107808470726 	 comp_acc:0 	 relative_acc:0
1420 	 train_loss:0.016527704894542694 	 test_loss: 0.019175639376044273 	 test_min_loss: 0.019175639376044273 	 difference: 0.0026479344815015793 	 comp_acc:0 	 relative_acc:0
1430 	 train_loss:0.016503775492310524 	 test_loss: 0.019156912341713905 	 test_min_loss: 0.019156912341713905 	 difference: 0.0026531368494033813 	 comp_acc:0 	 relative_acc:0
1440 	 train_loss:0.016479244455695152 	 test_loss: 0.0191374309360981 	 test_min_loss: 0.0191374309360981 	 difference: 0.0026581864804029465 	 comp_acc:0 	 relative_acc:0
1450 	 train_loss:0.01645525172352791 	 test_loss: 0.01911926083266735 	 test_min_loss: 0.01911926083266735 	 difference: 0.0026640091091394424 	 comp_acc:0 	 relative_acc:0
1460 	 train_loss:0.016431383788585663 	 test_loss: 0.019100628793239594 	 test_min_loss: 0.019100628793239594 	 difference: 0.0026692450046539307 	 comp_acc:0 	 relative_acc:0
1470 	 train_loss:0.016407353803515434 	 test_loss: 0.019082672894001007 	 test_min_loss: 0.019082672894001007 	 difference: 0.002675319090485573 	 comp_acc:0 	 relative_acc:0
1480 	 train_loss:0.016383696347475052 	 test_loss: 0.019064994528889656 	 test_min_loss: 0.019064994528889656 	 difference: 0.002681298181414604 	 comp_acc:0 	 relative_acc:0
1490 	 train_loss:0.016360266134142876 	 test_loss: 0.01904694177210331 	 test_min_loss: 0.01904694177210331 	 difference: 0.002686675637960434 	 comp_acc:0 	 relative_acc:0
1500 	 train_loss:0.01633642613887787 	 test_loss: 0.019027695059776306 	 test_min_loss: 0.019027695059776306 	 difference: 0.0026912689208984375 	 comp_acc:0 	 relative_acc:0
1510 	 train_loss:0.01631423830986023 	 test_loss: 0.01901129074394703 	 test_min_loss: 0.01901129074394703 	 difference: 0.0026970524340867996 	 comp_acc:0 	 relative_acc:0
